po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
23689,7365208869,12/29/2021,120,0,Direct,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,Not Rated,10.0269882v4,10,0,2,3,,1/5/2022,,,,10,,,0,0,2.58,0
23690,7246241396,12/14/2021,300,0,Direct,Existing Business,,Closed and Won,,,,1,,10.0267591v5,10,0,2,3,,1/5/2022,,,,25,,,0,0,2.41,0
23691,7373361307,12/30/2021,500,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0270038v1,10,0,2,3,,1/5/2022,,,,42,,,0,0,2.41,0
23692,7186187138,12/7/2021,240,0,Wholesale,Existing Business,,Closed and Won,,,,1,Not Rated,10.0267904v1,10,0,2,1,,1/5/2022,,,,20,,,0,0,1.96,0
23693,7420402212,1/5/2022,2528,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0227001v1,10,0,2,3,,1/5/2022,,,,211,,,0,0,1.62,0
23694,7328725676,12/23/2021,305,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,40.0269805v1,40,0,18,3,,1/5/2022,,,,26,,,0,0,2.49,0
23695,7420463726,1/5/2022,60,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0227001v1,10,0,2,3,,1/5/2022,,,,5,,,0,0,3.66,0
23696,7415157138,1/4/2022,120,0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0270244v2,10,0,2,1,,1/5/2022,,,,10,,,0,0,2.23,0
23697,7422876204,1/5/2022,960,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0234631v2,10,0,2,1,,1/5/2022,,,,80,,,0,0,1.96,0
23698,7415235956,1/4/2022,194,0,Distributor,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,Not Rated,10.0270301v1,10,0,2,1,,1/5/2022,,,,17,,,0,0,1.96,0
23699,7403473721,1/3/2022,480,0,Distributor,Existing Business,,Closed and Won,,,,2,Low ,10.0270149v1,10,0,2,3,,1/6/2022,,,,40,,,0,0,2.41,0
23700,7414271100,1/4/2022,500,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,,10.0370345v1,10,0,2,1,,1/5/2022,,,,43,,,0,0,1.96,0
23701,7059472929,12/1/2021,255,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0266977v1,10,0,2,1,,1/5/2022,,,,22,,,0,0,1.96,0
23702,7235139351,12/13/2021,250,0,Distributor,New Business,,Closed and Won,,,,2,High Res Preview,10.0268498v1,10,0,2,1,,1/5/2022,,,,21,,,0,0,1.96,0
23703,7415580986,1/4/2022,60,0,Distributor,Existing Business,,Closed and Won,,,,2,High Res Preview,10.0270352v1,10,0,2,1,,1/5/2022,,,,5,,,0,0,2.56,0
