po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
41113,15878851615,11/1/2023,2000.0,14280.0,Distributor,Existing Business,,Closed and Won,,,CommonSku,2,Not Rated,46.02198560v1,46.0,0.0,113.0,1.0,,2023-11-07,,,,168.0,,,0.0,0.0,1.62,3396.6000000000004
41114,15755384667,10/23/2023,500.0,3610.0,Distributor,Existing Business,,Closed and Won,,,SAGE,1,Low ,17.02198454v5,17.0,0.0,9.0,1.0,,2023-11-09,,,,42.0,,,0.0,0.0,1.96,1011.36
41116,15954987675,11/7/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,Low ,10.02199755v1,10.0,0.0,2.0,4.0,,2023-11-09,,,,10.0,,,0.0,0.0,2.83,373.56
41117,15782967986,10/25/2023,684.0,5752.44,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium ,10.02197325v2,10.0,0.0,2.0,1.0,,2023-11-08,,,,58.0,,,0.0,0.0,1.96,1434.72
41118,15657861637,10/16/2023,200.0,1650.0,Distributor,Existing Business,,Closed and Won,,,Paid Search,1,,10.02194773v5,10.0,0.0,2.0,1.0,,2023-11-07,,,,17.0,,,0.0,0.0,1.96,423.36
41119,15495685960,10/6/2023,120.0,1125.5,Distributor,New Business,,Closed and Won,,,Direct Traffic,1,Low ,10.02192761v1,10.0,0.0,2.0,4.0,,2023-11-07,,,,10.0,,,0.0,0.0,2.83,373.56
41120,15364729248,9/28/2023,30.0,398.7,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02190935v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,3.0,,,0.0,0.0,3.18,152.64
41121,15913533714,11/3/2023,300.0,2885.89,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.04199559v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,25.0,,,0.0,0.0,1.96,611.52
41122,15942511235,11/6/2023,2375.0,16097.0,Distributor,Existing Business,,Closed and Won,Revision Request,,Client Referral,3,,55.02151791v2,55.0,0.0,114.0,4.0,,2023-11-09,,,,199.0,,,0.0,0.0,2.18,5258.16
41123,15718336564,10/20/2023,150.0,1350.0,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Event in the Past Year,2,High Res Preview,10.02195975v1,10.0,0.0,2.0,1.0,,2023-11-09,,,,13.0,,,0.0,0.0,1.96,329.28
41125,15895745346,11/2/2023,200.0,2534.0,Direct,New Business,,Closed and Won,,,Organic Search,1,High ,10.02199524v4,10.0,0.0,2.0,1.0,,2023-11-07,,,,17.0,,,0.0,0.0,1.96,423.36
41126,15946937686,11/6/2023,120.0,1147.92,Distributor,Existing Business,,Closed and Won,,,Organic Search,3,Low ,10.02199746v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.83,373.56
41128,15876723541,11/1/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,Low ,10.02199654v2,10.0,0.0,2.0,1.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.23,294.36
41129,15946638620,11/6/2023,250.0,1840.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02199809v1,10.0,0.0,2.0,1.0,,2023-11-09,,,,21.0,,,0.0,0.0,1.96,517.44
41131,14300958351,7/24/2023,360.0,3117.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,High Res Preview,15.02179410v1,15.0,0.0,7.0,3.0,,2023-11-08,,,,30.0,,,0.0,0.0,3.53,1313.16
41132,15912246536,11/3/2023,250.0,2865.0,Direct,New Business,,Closed and Won,,,Organic Search,1,Low ,10.02199383v1,10.0,0.0,2.0,1.0,,2023-11-10,,,,21.0,,,0.0,0.0,1.96,517.44
41133,15960787776,11/7/2023,100.0,1147.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,Low ,17.02185708v4,17.0,0.0,9.0,3.0,,2023-11-09,,,,9.0,,,0.0,0.0,2.85,342.0
41134,15944768379,11/6/2023,720.0,5061.6,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Pre-Hubspot Contact,2,Low ,55.02199719v1,55.0,0.0,114.0,4.0,,2023-11-08,,,,60.0,,,0.0,0.0,2.18,1595.76
41135,15963866930,11/7/2023,120.0,1858.8,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,1,,10.0237764v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.56,368.64
41136,15972061094,11/8/2023,472.0,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,1,,55.02178974v1,55.0,0.0,114.0,1.0,,2023-11-08,,,,42.0,,,0.0,0.0,2.56,1168.32
41137,15971790638,11/8/2023,360.0,2710.8,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,10.0241447v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,30.0,,,0.0,0.0,2.43,903.96
41138,15971993447,11/8/2023,120.0,960.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Pre-Hubspot Contact,2,,10.02188995v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.83,373.56
41139,15971994641,11/8/2023,200.0,1706.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,46.0292083v1,46.0,0.0,113.0,1.0,,2023-11-08,,,,17.0,,,0.0,0.0,1.79,386.64
41140,15955032142,11/7/2023,80.0,797.6,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Client Referral,1,Low ,10.02199683v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,7.0,,,0.0,0.0,2.56,245.76
41142,15672882574,10/17/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,High Res Preview,10.02195150v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.83,373.56
41143,15313896079,9/25/2023,160.0,956.8,Wholesale,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,Low ,10.02190357v9,10.0,0.0,2.0,1.0,,2023-11-08,,,,14.0,,,0.0,0.0,1.96,352.8
41144,15973728885,11/8/2023,250.0,2083.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,1,,10.02155551v3,10.0,0.0,2.0,3.0,,2023-11-08,,,,21.0,,,0.0,0.0,2.43,641.52
41145,15958737592,11/7/2023,400.0,3112.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,2,Not Rated,10.02199870v5,10.0,0.0,2.0,1.0,,2023-11-16,,,,34.0,,,0.0,0.0,1.96,823.2
41146,15912755616,11/3/2023,85.0,1049.75,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,55.02199616v1,55.0,0.0,114.0,4.0,,2023-11-13,,,,8.0,,,0.0,0.0,3.0,324.0
41147,15960569205,11/7/2023,1000.0,7200.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02199945v1,10.0,0.0,2.0,1.0,,2023-11-09,,,,84.0,,,0.0,0.0,1.96,2022.72
41148,15882825136,11/1/2023,300.0,2418.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02199098v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,25.0,,,0.0,0.0,2.43,758.16
41149,15770264380,10/24/2023,260.0,2674.1,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,Low ,10.04199728v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,24.0,,,0.0,0.0,2.83,979.44
41150,15960240509,11/7/2023,360.0,2535.8,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,,10.03194418v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,30.0,,,0.0,0.0,2.43,903.96
41151,15975490388,11/8/2023,240.0,1934.4,Distributor,Existing Business,,Closed and Won,,,CommonSku,1,,10.02199537v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,20.0,,,0.0,0.0,1.96,493.92
41152,15790150716,10/25/2023,194.0,1910.9,Distributor,New Business,,Closed and Won,Intake 4.0 Logged In,,Email Marketing,1,High Res Preview,55.02199999v1,55.0,0.0,114.0,1.0,,2023-11-08,,,,17.0,,,0.0,0.0,1.88,406.08
41153,15975471875,11/8/2023,200.0,1600.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,4,,10.02178119v4,10.0,0.0,2.0,3.0,,2023-11-08,,,,17.0,,,0.0,0.0,2.54,548.64
