po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
31526,10768482581,11/1/2022,0.0,864.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,2,High Res Preview,932131937v3,93.0,120.0,120.0,10.0,44942.0,2022-12-21,Distributor,existingbusiness,10768482581.0,10.0,1.8,0.0,237.6,216.0,,216.0,0.75
31527,11043096696,11/22/2022,180.0,2444.99,Direct,Existing Business,,Closed and Won,Intake 3.0,,Email Marketing,1,High Res Preview,10.02129040v2,10.0,0.0,2.0,3.0,,2022-11-28,,,,15.0,,,0.0,0.0,2.41,462.72,0.8107476922196001
31528,10939213236,11/14/2022,60.0,944.4,Direct,New Business,,Closed and Won,3D Builder,,Direct Traffic,2,Low ,10.02127308v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.56,184.32,0.804828462515883
31529,10708972407,10/27/2022,240.0,2618.4,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,High Res Preview,10.02128596v3,10.0,0.0,2.0,1.0,,2022-11-28,,,,20.0,,,0.0,0.0,1.96,493.92,0.811365719523373
31531,10983341214,11/17/2022,60.0,854.4,Direct,New Business,,Closed and Won,Intake 3.0,,Intake,1,High Res Preview,10.02127975v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.56,184.32,0.7842696629213483
31533,11130250758,11/28/2022,60.0,854.4,Direct,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,2,,10.02123751v3,10.0,0.0,2.0,1.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.56,184.32,0.7842696629213483
31534,11002389668,11/18/2022,120.0,1968.87,Direct,New Business,,Closed and Won,3D Builder,,Intake,1,High Res Preview,10.02128390v1,10.0,0.0,2.0,4.0,,2022-11-28,,,,10.0,,,0.0,0.0,2.58,371.52,0.8113029301071173
31535,11029182307,11/21/2022,225.0,2031.75,Wholesale,New Business,,Closed and Won,,,Client Referral,1,Low ,10.02128247v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,19.0,,,0.0,0.0,1.96,470.4,0.7684754521963824
31536,10263779331,9/21/2022,300.0,3790.2,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02116022v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,25.0,,,0.0,0.0,3.66,944.64,0.7507677695108438
31537,10813793052,11/4/2022,60.0,926.4,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02125667v2,10.0,0.0,2.0,4.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.58,185.76,0.7994818652849741
31538,11049551737,11/22/2022,60.0,651.79,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,Low ,55.02128948v1,55.0,0.0,114.0,3.0,,2022-11-29,,,,5.0,,,0.0,0.0,3.74,269.28,0.5868607987235153
31539,11067255206,11/23/2022,120.0,933.6,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,Low ,10.02128888v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,10.0,,,0.0,0.0,2.58,340.56,0.6352185089974293
31540,9783079829,8/10/2022,0.0,12324.26,Direct,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,932122848v3,93.0,1500.0,120.0,10.0,44932.0,2022-11-28,Direct,existingbusiness,9783079829.0,126.0,1.31,0.0,2027.88,1965.0,,1965.0,0.8405583783529397
31541,11129015628,11/28/2022,120.0,933.6,Distributor,Existing Business,,Closed and Won,,,SAGE,2,,10.02115976v2,10.0,0.0,2.0,4.0,,2022-12-01,,,,10.0,,,0.0,0.0,2.58,371.52,0.6020565552699229
31542,11130437431,11/28/2022,250.0,1962.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.02129259v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,21.0,,,0.0,0.0,2.41,636.24,0.6758012738853503
31543,11132476571,11/28/2022,240.0,1884.0,Distributor,Existing Business,,Payment Pending,Portal Order,,Email Marketing,3,,10.0220628v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,20.0,,,0.0,0.0,1.96,493.92,0.7378343949044586
31544,11132176493,11/28/2022,240.0,1884.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0223202v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,20.0,,,0.0,0.0,2.41,607.32,0.6776433121019108
