po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
37801,13783814536,6/19/2023,0.0,6840.65,Direct,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,Low ,933174607v2,93.0,600.0,120.0,10.0,45154.0,2023-07-14,Direct,existingbusiness,13783814536.0,50.0,1.31,0.0,801.72,786.0,,786.0,0.8850986382872973,7,2023
37802,13913450529,6/29/2023,250.0,2871.52,Direct,Existing Business,,Closed and Won,,,Organic Search,2,High ,10.02174873v3,10.0,0.0,2.0,4.0,,2023-07-13,,,,21.0,,,0.0,0.0,2.54,670.56,0.7664790772831114,7,2023
37803,14109075993,7/13/2023,400.0,3540.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,55.02167280v2,55.0,0.0,114.0,1.0,,2023-07-14,,,,34.0,,,0.0,0.0,1.96,846.72,0.7608135593220339,7,2023
37804,13823675979,6/22/2023,240.0,2088.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02172543v1,10.0,0.0,2.0,4.0,,2023-07-13,,,,20.0,,,0.0,0.0,2.71,715.44,0.6573563218390804,7,2023
37805,14109179930,7/13/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,SAGE,4,,10.02107862v4,10.0,0.0,2.0,1.0,,2023-07-14,,,,10.0,,,0.0,0.0,2.23,294.36,0.7274444444444444,7,2023
37806,14085631511,7/12/2023,371.0,2904.13,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,3,Low ,10.02175206v1,10.0,0.0,2.0,4.0,,2023-07-13,,,,31.0,,,0.0,0.0,2.54,975.36,0.6641472661347805,7,2023
37807,13823666587,6/22/2023,240.0,2750.4,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Pre-Hubspot Contact,2,High Res Preview,10.02172687v2,10.0,0.0,2.0,4.0,,2023-07-13,,,,20.0,,,0.0,0.0,2.54,640.08,0.7672774869109948,7,2023
37808,13886127466,6/27/2023,350.0,2621.5,Distributor,Existing Business,,Closed and Won,Revision Request,,SAGE,3,,12.02174559v1,12.0,0.0,4.0,1.0,,2023-07-21,,,,30.0,,,0.0,0.0,1.63,606.36,0.7686973106999809,7,2023
37810,14132481902,7/13/2023,6500.0,34060.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.02155718v4,10.0,0.0,2.0,3.0,,2023-07-14,,,,542.0,,,0.0,0.0,1.72,11207.52,0.6709477392836172,7,2023
37811,13924512003,6/30/2023,720.0,4932.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02173592v1,10.0,0.0,2.0,4.0,,2023-07-14,,,,60.0,,,0.0,0.0,2.01,1471.32,0.7016788321167884,7,2023
37812,14008166995,7/7/2023,250.0,1840.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,1,,10.02174624v2,10.0,0.0,2.0,1.0,,2023-07-14,,,,21.0,,,0.0,0.0,1.96,517.44,0.7187826086956521,7,2023
37813,14127115954,7/13/2023,120.0,1527.62,Direct,Existing Business,,Closed and Won,Reorder Button,,Referrals,1,,10.02102566v1,10.0,0.0,2.0,3.0,,2023-07-14,,,,10.0,,,0.0,0.0,2.72,359.04,0.7649677275762297,7,2023
37814,14126605467,7/13/2023,240.0,3082.1,Direct,Existing Business,,Closed and Won,Portal Order,,Organic Search,1,,10.02171059v5,10.0,0.0,2.0,3.0,,2023-07-14,,,,20.0,,,0.0,0.0,2.72,718.08,0.7670159955874242,7,2023
37815,13622919856,6/7/2023,150.0,1469.07,Distributor,Existing Business,,Closed and Won,3D Builder,,Event in the Past Year,2,High Res Preview,10.02169803v1,10.0,0.0,2.0,4.0,,2023-07-14,,,,13.0,,,0.0,0.0,2.54,426.72,0.7095305193081337,7,2023
37816,14132489046,7/13/2023,50.0,800.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,,55.02173305v3,55.0,0.0,114.0,3.0,,2023-07-14,,,,5.0,,,0.0,0.0,2.93,210.96,0.7363,7,2023
37817,14108802974,7/13/2023,120.0,1346.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02175222v1,10.0,0.0,2.0,4.0,,2023-07-14,,,,10.0,,,0.0,0.0,2.83,407.52,0.6973262032085562,7,2023
37818,14150643723,7/14/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Pre-Hubspot Contact,2,,10.02155246v1,10.0,0.0,2.0,1.0,,2023-07-17,,,,10.0,,,0.0,0.0,2.23,294.36,0.7274444444444444,7,2023
37819,14066559127,7/11/2023,120.0,960.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Event Longer Than 1 Year Ago,2,,10.02137910v1,10.0,0.0,2.0,1.0,,2023-07-14,,,,10.0,,,0.0,0.0,2.23,294.36,0.693375,7,2023
